ts,video_id,title,channel_title,dwell_sec,disliked,skipped
1749657906,QxB6FspDfGU,I Ranked Every Credit Card (Here’s What’s ACTUALLY Good),Daniel Braun,0,0,0
1749658650,9dFRUUYMdNE,My manager,RollsTales,0,0,0
1749659046,cN3rRKkri94,Minecraft TNT Village #minecraftshortlive,Nacils,0,0,0
1749660010,apxyY0Kue10,Watch me golf! Putting practice!,Sam Lawther,0,0,0
1749660946,QiqAOJjgIo0,Ask a Physicist - Office Hours with Dr. Blitz  - 6/11/2025,Dr. Blitz,0,0,0
1749668522,2rZoi97cy4s,Taarak Mehta Ka Ooltah Chashmah - Episode 516 - Full Episode,Taarak Mehta Ka Ooltah Chashmah Episodes,0,0,0
1749670568,6DmXlJwaP0I,family guy out of context,Forte,0,0,0
1749670873,KkN6I3gZfGI,"The 'Buy Now Pay Later' Trap, Explained",Grant Rudow,0,0,0
1749671470,nHqMt-7SGUw,I Took America's Worst Possible Flight,Tonio Guajardo,0,0,0
1749702637,Q2A2iD_wJOs,The SaaS Founder's Guide to Building the Perfect Team (step-by-step),MicroConf,0,0,0
1749702648,leQAuJSNKqg,How to Find PROFITABLE Micro SaaS Ideas in 2025,MicroConf,0,0,0
1749703779,7MpAQeeep-U,"5 Micro SaaS Making $100,000/Month (Ai + No Code)",Brett Malinowski,0,0,0
1749703784,dLxUlyYw2dk,7 AI SaaS Ideas You Can Build As A Solo Founder in 2025,Dr Alex Young,0,0,0
1749703789,_1_qEqY0siE,Top 5 AI SaaS Ideas & Business Opportunities for 2025,Alex Berman,0,0,0
1749703810,fPkJn68u7EE,5 PROVEN Micro SaaS Ideas ($12K to $2M MRR) |  Build With AI!,Astro K Joseph,0,0,0
1749704127,KbiE2E7mDtc,"Amir Salihefendic: ""$0 to $10M+ ARR: Lessons Learned Scaling a SaaS Business"" @ SaaStanak 2025",SaaStanak,0,0,0
1749704159,2P9gPux6UfI,5 (Real) AI Agent Business Ideas For 2025,Simon Høiberg,0,0,0
1749705293,lBAaWUJG2rE,11 Money Habits Keeping YOU Poor,Humphrey Yang,0,0,0
1749736580,l3NRp5l7kao,live trading #classictrader #autonomous #trading,Classic Trader 2.0,0,0,0
1749737798,f9E7vVh2hYs,How did you trick your entire high school?,Delilah Tales™,0,0,0
1749750426,6WXHWKDEbIs,6 SaaS Ideas To Build in 2025 (Before Someone Else Does)...,MicroConf,0,0,0
