"Channel Id","Channel Url","Channel Title"
"UC-BcB4XD6qsKwS-qDw_yxqQ","http://www.youtube.com/channel/UC-BcB4XD6qsKwS-qDw_yxqQ","The Motivation {A2 Brigade}"
"UC-NjoG1lrToRCEVCAW-rLJA","http://www.youtube.com/channel/UC-NjoG1lrToRCEVCAW-rLJA","MEET YT"
"UC-stzLwoQF_R8Vnfb28d7Lg","http://www.youtube.com/channel/UC-stzLwoQF_R8Vnfb28d7Lg","Dhinchak Pooja"
"UC00ifCvU8YOOzbL3RdiSTDw","http://www.youtube.com/channel/UC00ifCvU8YOOzbL3RdiSTDw","GetsetflySCIENCE by Gaurav Thakur"
"UC0SZOYynWQVic9HsYt7QO9g","http://www.youtube.com/channel/UC0SZOYynWQVic9HsYt7QO9g","Shemaroo Gujarati Manoranjan"
"UC0cd_-e49hZpWLH3UIwoWRA","http://www.youtube.com/channel/UC0cd_-e49hZpWLH3UIwoWRA","Professor Dave Explains"
"UC0uhtbx99hApZnkk3o-KwaA","http://www.youtube.com/channel/UC0uhtbx99hApZnkk3o-KwaA","Rohit Joshi"
"UC10jOU_-x6XGe3YQcvGkIVA","http://www.youtube.com/channel/UC10jOU_-x6XGe3YQcvGkIVA","PhoneBuff Shorts"
"UC15BVlU7DLDnS7SXdfhxhtg","http://www.youtube.com/channel/UC15BVlU7DLDnS7SXdfhxhtg","Jasstag Plus"
"UC1VLQPn9cYSqx8plbk9RxxQ","http://www.youtube.com/channel/UC1VLQPn9cYSqx8plbk9RxxQ","The Action Lab"
"UC2CBHC5hi5gwlL9gUUYakDw","http://www.youtube.com/channel/UC2CBHC5hi5gwlL9gUUYakDw","The Experiment TV"
"UC2_VrDHrDEZ-AU0gEsKbUfw","http://www.youtube.com/channel/UC2_VrDHrDEZ-AU0gEsKbUfw","aariz saiyed"
"UC2qmmoQdJXLmre794U6zjXw","http://www.youtube.com/channel/UC2qmmoQdJXLmre794U6zjXw","Bugatti"
