video_id,ts,view_count
wQZd93U4ocM,1755283401,841026
rwWK4WX2qaI,1755283401,1139665
KBvtvnYmi5w,1755283401,869626
zTMb31shzqg,1755283401,723837
vD8QDQ0_4N0,1755283401,1114475
jsuKKJmEuOQ,1755283401,953380
zRHUUAL5zog,1755283401,220336
MPQCtlrMOp8,1755283401,1144255
TnuofQt7GTI,1755283401,907959
O_0Wn73AnC8,1755283401,3167935
SHTF9ArFQCE,1755283401,249638
3bEZj5SbXLY,1755283401,153386
DjaCGge3Mzk,1755283401,285819
Z6Fo9U-_6AA,1755283401,1752737
60VpgdjtL3s,1755283401,146383
cIHbfO1G8Bg,1755283401,319273
xBocmjcn1MI,1755283401,219673
LeG3jPeeMec,1755283401,610123
ShxQ7N_KGuY,1755283401,583349
dku79-2_SCQ,1755283401,160393
eq36Q5RzHoQ,1755283401,357417
KDnKIryNPgQ,1755283401,303999
ORaTxZgMAnY,1755283401,697373
9Z97tEfd2Ws,1755283401,249912
IZNbYkhmfZs,1755283401,1190596
rXU7je1_Ons,1755283401,915265
tnbfeAFu7OY,1755283401,304827
6MWlBf2lhno,1755283401,633460
4Z_P1gfpZrI,1755283401,1312769
0loJa3UvZXo,1755283401,574654
QhxnImk2GFQ,1755283401,1067774
bqWqhWcOedk,1755283401,468715
hbzNfz0im0I,1755283401,295954
vGmQrRVEvJ8,1755283401,5632288
CcXAQ6xhBsA,1755283401,894395
eWqG8qsOoAg,1755283401,501632
1u-6OEpp_Ek,1755283401,250327
p5CoPVIhXgM,1755283401,583156
xptCUHbdI-c,1755283401,83542
kR9TrOxuf0Y,1755283401,93076
XVGCAphlSfI,1755283401,74562
UlQflwXEp1c,1755283401,79970
KgIvHe5KDMw,1755283401,85403
KRuA-YkG77k,1755283401,70622
GJDzJQpwXXQ,1755283401,73024
FWk3Z8FoHQ0,1755283401,66095
MWE9AedGhXY,1755283401,3655159
hLcbc5L8vI8,1755283401,31374
_vsPcevFIyk,1755283401,4625879
npaSGtAVmtM,1755283401,224754
Aqd4zAFjgTs,1755283401,69959
uGpgoM2Bd0o,1755283401,211803
m4DVbm9zeR0,1755283401,13086001
ro7oK6AsXfg,1755283401,676550
b6-JNeXxN3s,1755283401,51109078
zp0CXkhw_K4,1755283401,1306066
RRLAiwPgukI,1755283401,3632567
ab4cwQOMqLY,1755283401,5619765
7N2AyEj2TyY,1755283401,9607011
doEjuluqimA,1755283401,14348385
jiGFVNMWkbk,1755283401,141277
zDkUDVK_eeA,1755283401,95003
roPuoqsGzIg,1755283401,1856346
mr38NDV9ukM,1755283401,285393
CBCu1gB38B8,1755283401,430461
PY4cjoUfXXU,1755283401,529354
mANvg9R1xeI,1755283401,591082
SSaaupR7TGQ,1755283401,203975
PRWockrwEXU,1755283401,57330594
